fips,state_abbr,state_name,female_incidence,female_mortality,male_incidence,male_mortality,total_incidence,total_mortality
1,AL,Alabama,61923,23308,68627,28353,130550,51661
2,AK,Alaska,6808,2233,7110,2653,13918,4886
4,AZ,Arizona,75862,26473,76377,31066,152239,57539
5,AR,Arkansas,38842,14810,43912,18303,82754,33113
6,CA,California,418675,141411,407532,151530,826207,292941
8,CO,Colorado,57201,17958,56305,19642,113506,37600
9,CT,Connecticut,53312,16465,50903,16818,104215,33283
10,DE,Delaware,14147,4757,14870,5189,29017,9946
12,FL,Florida,294358,99401,315220,117025,609578,216426
13,GA,Georgia,119059,38678,125958,44572,245017,83250
15,HI,Hawaii,17909,5478,17728,6494,35637,11972
16,ID,Idaho,19293,6350,20326,7456,39619,13806
17,IL,Illinois,171324,59749,167091,62907,338415,122656
18,IN,Indiana,85330,31384,85879,35696,171209,67080
19,IA,Iowa,43419,15162,45611,17234,89030,32396
20,KS,Kansas,37187,13097,38668,14386,75855,27483
21,KY,Kentucky,65903,23520,68826,27512,134729,51032
22,LA,Louisiana,58090,21311,66405,25417,124495,46728
23,ME,Maine,21818,7695,21683,8640,43501,16335
24,MD,Maryland,77430,26348,74791,27021,152221,53369
25,MA,Massachusetts,94863,31557,85746,32419,180609,63976
26,MI,Michigan,133705,49606,136528,54028,270233,103634
27,MN,Minnesota,71597,23161,73381,25295,144978,48456
28,MS,Mississippi,37237,14669,42377,17941,79614,32610
29,MO,Missouri,82373,30605,82360,33997,164733,64602
30,MT,Montana,14002,4755,15505,5423,29507,10178
31,NE,Nebraska,23457,8246,24694,9142,48151,17388
32,NV,Nevada,30748,11493,31297,13176,62045,24669
33,NH,New Hampshire,20423,6427,20222,7163,40645,13590
34,NJ,New Jersey,129556,41458,125132,40577,254688,82035
35,NM,New Mexico,23136,8156,22444,9414,45580,17570
36,NY,New York,281944,88631,275690,88824,557634,177455
37,NC,North Carolina,131920,44461,136261,50719,268181,95180
38,ND,North Dakota,8847,2990,9777,3426,18624,6416
39,OH,Ohio,162651,60553,161641,66032,324292,126585
40,OK,Oklahoma,48491,18620,50694,21788,99185,40408
41,OR,Oregon,52242,18791,51707,20874,103949,39665
42,PA,Pennsylvania,198768,69086,196533,74206,395301,143292
44,RI,Rhode Island,16207,5417,14606,5696,30813,11113
45,SC,South Carolina,64330,22631,69319,27078,133649,49709
46,SD,South Dakota,10895,3748,11676,4491,22571,8239
47,TN,Tennessee,86232,32250,92229,38304,178461,70554
48,TX,Texas,264143,90180,271328,104536,535471,194716
49,UT,Utah,24560,7023,26176,8082,50736,15105
50,VT,Vermont,9315,3194,9075,3583,18390,6777
51,VA,Virginia,99401,34943,95990,38488,195391,73431
53,WA,Washington,89696,29109,89368,32256,179064,61365
54,WV,West Virginia,28568,11014,29697,12766,58265,23780
55,WI,Wisconsin,78721,26866,82079,30125,160800,56991
56,WY,Wyoming,6256,2200,6933,2516,13189,4716
